stop_lat,stop_id,stop_name,stop_lon
55.853126,35628,Метро Авиастроительная,49.084299
55.84743,35629,Дементьева,49.08392
55.841448,35630,Метро Северный вокзал,49.082225
55.838206,35631,Гагарина (ул. Декабристов),49.080716
55.83294,35632,пл. Восстания,49.080106
55.828276,35364,Метро Яшьлек,49.082104
55.825951,35365,ДК Химиков,49.084634
55.819976,35366,ТРК Тандем (Декабристов),49.090684
55.816929,35367,Энергетический университет,49.098533
55.813955,35368,Молодёжный центр,49.100699
55.797052,35545,Центральный стадион,49.101917
55.790956,36038,Чернышевского (ул. Лево-Булачная),49.108478
55.788554,36039,Педагогический университет,49.111806
55.785597,36040,Комбинат Здоровье,49.116316
55.782097,35832,Театр им. Камала,49.11477
55.779855,35833,Тукая,49.11171
55.778698,35834,Татарстан,49.110181
55.775919,35835,Тинчурина,49.106443
55.773376,36192,Автовокзал,49.098635
55.787,35551,Метро пл. Тукая,49.122191
55.78792,36041,Бутлерова,49.131135
55.789508,36042,Толстого (ул. Бутлерова),49.137136
55.788968,36043,Волкова,49.143634
55.788284,35376,Кинотеатр Мир,49.148513
55.787784,35876,Вишневского,49.153319
55.7871,35877,Достоевского,49.159731
55.785773,35649,Аделя Кутуя,49.170704
55.783088,35650,Кафе Сирень,49.170474
55.779796,35651,Гвардейская,49.171783
55.770545,35652,Сады,49.176074
55.766517,35653,Даурская (ул. Рихарда Зорге),49.180203
55.763252,35654,Рихарда Зорге,49.185854
55.759861,35655,Метро Горки,49.191667
55.756489,35656,Братьев Касимовых,49.19747
55.753173,35657,Гарифьянова,49.203175
55.744791,36330,Фучика,49.217357
55.741691,36331,Габишева,49.22717
55.745164,36332,Алтан,49.233591
55.746914,36333,9-й микрорайон,49.236825
55.750619,36334,Кул Гали (ул. Габишева),49.242699
55.749074,36336,Рассветная,49.258677
55.745178,36337,Овражная,49.263861
55.743504,36338,Центральная (Салмачи),49.273617
55.742758,36339,2-й поворот,49.282707
55.742089,36340,Салмачи,49.291754
55.740751,36341,1-я Зелёная,49.297805
55.737459,36342,5-я Зелёная,49.303325
55.72955,36343,Новые Салмачи,49.316525
55.72544,36344,Микрорайон Яшьлек,49.324908
55.718496,36345,30-й квартал,49.340024
