stop_lat,stop_id,stop_lon,stop_name
55.044998,29046,73.27028,1-я Заводская
54.989778,28729,73.273061,Ватутина
54.987921,28730,73.276824,Восточная
54.990338,28731,73.282357,Путилова
54.992305,28732,73.28528,Кинотеатр Иртыш
54.993085,28733,73.28898,Школа милиции
54.990251,28734,73.294735,Студенческая
54.987576,28735,73.300165,"Жилой комплекс ""Кристалл"""
54.987734,28736,73.307115,Поворотная (ул. 70 лет Октября)
54.985727,28737,73.311801,Магазин (ул. 70 лет Октября)
54.974641,28742,73.340683,Таксопарк
54.954108,29136,73.340967,60 лет Победы
54.951858,29137,73.336872,Аэропорт местных линий
54.949003,29453,73.333637,Авиационная
54.94545,29274,73.338661,Поликлиника (ул. 12 Декабря)
54.940949,29655,73.338628,Володарского
54.931662,29278,73.321319,Учебный пункт
54.931876,29279,73.316619,3-я Кировская
54.932319,29280,73.308769,8-я Кировская
54.932539,29281,73.302729,1-я Автомобильная
54.931136,29282,73.296176,2-я Автомобильная
54.929723,29283,73.289582,Агропром
54.929961,29284,73.281358,Сельхозтехника
54.928778,29285,73.275939,Новостройка (ул. Семиреченская)
54.928429,29290,73.276814,Новостройка (ул. Семиреченская)
54.929978,29291,73.284559,Сельхозтехника
54.931007,29293,73.295755,2-я Автомобильная
54.932271,29294,73.301655,1-я Автомобильная
54.932345,29295,73.307667,8-я Кировская
54.931865,29296,73.316176,3-я Кировская
54.931636,29297,73.321929,Учебный пункт
54.946611,29301,73.336654,Поликлиника (ул. 12 Декабря)
54.949011,29143,73.333734,Авиационная
54.951241,29144,73.337374,Аэропорт местных линий
54.954363,29145,73.341442,60 лет Победы
54.975244,28706,73.34052,Таксопарк
54.978452,28707,73.3324,Торговый город
54.979049,28708,73.327758,ТЦ Континент
54.981121,28709,73.322815,11-й микрорайон
54.983709,28710,73.316774,70 лет Октября (по требованию)
54.986251,28711,73.310839,Дмитриева
54.988006,28712,73.30674,Поворотная (ул. 70 лет Октября)
54.988132,29266,73.299134,"Жилой комплекс ""Кристалл"""
54.989671,29267,73.296011,Студенческая
54.993244,28715,73.286618,Школа милиции
54.989679,28716,73.281301,Путилова
55.047244,29057,73.284364,Школа №7
55.047374,29058,73.292719,Поликлиника (ул. Энтузиастов)
55.047075,28905,73.300908,Лаптева
55.04649,28906,73.306936,Белозёрова
55.045729,28907,73.311836,Кинотеатр Первомайский
55.043686,28676,73.32005,проспект Менделеева
55.043506,28417,73.324408,Имени О. Охрименко
55.048366,28418,73.330599,ТК Лента (Красноярский тракт)
55.024792,29083,73.517774,снт Ивушка
55.022457,29084,73.509286,снт Проектировщик
55.029868,29183,73.497157,По требованию (пос. Степной)
55.033431,29086,73.495991,Воинская часть
55.039202,29087,73.492363,Карьер (пос. Степной)
55.043955,28918,73.487969,Развилка (в сторону пос. Загородный)
55.040035,28919,73.477173,Сады (в сторону пос. Загородный)
55.033959,28921,73.468073,Микрорайон Первокирпичный
55.033068,28922,73.463042,КЖБИ
55.033491,28923,73.453356,Детский сад (ул. Завертяева)
55.033888,28924,73.445393,Завертяева (по требованию)
55.034129,28925,73.440622,Станция Успешная
55.034719,28926,73.428866,Гаражи (ул. Завертяева)
55.031952,28671,73.328543,СибНИИСХоз
55.033626,28672,73.322788,Учхоз
55.035047,28878,73.309801,14-я Заозёрная
55.030416,28879,73.30765,7-я Заозёрная
55.024729,29184,73.305273,Школа №18
55.029306,28869,73.283803,КДЦ Кристалл
55.029024,29185,73.268039,Нефтезаводская
55.028953,29186,73.262891,ОмГУ
55.028864,29187,73.256569,Магазин Садко
55.028755,29188,73.248734,ДОК (проспект Мира)
55.028682,29189,73.243444,Социальный рынок (проспект Мира)
55.028543,29190,73.234436,Радиостанция
55.031396,29191,73.226118,Микрорайон Юбилейный
55.033594,29192,73.220588,Магазин (проспект Мира)
55.037239,29193,73.211645,ЗСЖБ-5
55.041026,29194,73.202397,Завод Металлист
55.044409,29195,73.194137,проспект Мира (по требованию)
